パス名,モジュール名,種類,総ステップ数,実ステップ数,コメント[％]
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNMemory.cpp","モジュール外",cpp,5,2,21.1
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNMemory.cpp","SNMemory::SNMemory",cpp,11,7,24.8
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNMemory.cpp","SNMemory::~SNMemory",cpp,13,9,26.0
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNMemory.cpp","Void SNMemory::Allocate",cpp,38,21,37.2
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNMemory.cpp","Void SNMemory::Free",cpp,15,11,21.2
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNMemory.cpp","Void* SNMemory::GetAddress",cpp,6,4,20.5
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNMemory.cpp","UInt32 SNMemory::GetSize",cpp,6,4,19.6
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNMemory.cpp","UInt32 SNMemory::GetAllocSize",cpp,6,4,21.2
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNMemory.cpp","Void SNMemory::Clear",cpp,11,8,12.0
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNMemory.cpp","Void SNMemory::Copy",cpp,22,17,16.8
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNMemory.h","モジュール外",h,44,21,34.7
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNMutex.cpp","モジュール外",cpp,4,2,0.0
"C:\Users\shinj\OneDrive\ドキュメント\Creation\ソフト開発\WindowsProject\20_SNFramework\22_System\Component\SNMutex.cpp","SNMutex::SNMutex",cpp,9,6,15.4
